天赋id;天赋名称;描述;稀有度
1;长短手;每过2回合，下一次攻击最终基础伤害+5%;紫
2;香港脚;使用丐帮腿系武学时，使敌方基础攻击-10%，持续1回合;紫
3;乱拳;每回合提高暴击值+100，可叠加3次;绿
4;众志成城;每回合恢复自身生命值上限1%护盾,周围3*3每多一个队友增加1%护盾;紫
5;狗急跳墙;当真气少于20%时，基础攻击+20%;橙
6;狗屎运;若回合间受到3次及3次以上攻击，则下回合获得减伤50%，持续2回合;金
7;世代为乞;使用任何丐帮武学后，下次继续使用丐帮武学则基础伤害+10%;橙
8;第三只手;使用丐帮拳系招式攻击时，根据伤害值的5%增加护盾;紫
9;吃饱喝足;攻击+300，所有武学消耗真气提升500;橙
10;乞讨精通;若回合间没有受到攻击，则下回合开始恢复生命值5%的护盾;橙
11;强壮右手;每回合攻击+300点，最多叠加3层。;蓝
12;溜之大吉;受到一次伤害大于生命值50%的攻击后，立即提高闪避率50%，持续直到一次闪避后消失;紫
13;感谢喂食;获得治疗时，治疗效果+10%;紫
14;精准打击;使用丐帮奇门招式时，若只攻击到一个目标，则造成基础伤害+30%;橙
15;兔急咬人;每次受到攻击时，提高暴击值300，可叠加，最多3次;暗金
16;小幸运;若回合间没有受到攻击，则下回合开始时恢复10%生命值的护盾;金
17;偷袭;对减速敌人，造成基础伤害+5%;蓝
18;习惯挨打;受到所有伤害，降低10%;金
19;乱花入眼;使用玄机门剑法时，额外附加降低敌人命中10%，持续1回合;蓝
20;玄机真传;玄机门所有拳掌武学等级+1;橙
21;玄机孽徒;对玄机门的人造成所有基础伤害+10%;橙
22;融会贯通;当掌握至少10门玄机门武学时，玄机门武学连击率+5%;橙
23;桃花香;醉酒状态时，提升六项负面抗性10点;绿
24;灵鳌入海;行动回合内不移动时，后续一回合提升10%抗暴击值和10%闪避值;蓝
25;长生门弟子-废弃;使用长生门武学造成基础伤害+5%;蓝
26;铸剑弟子;使用铸剑山庄武学造成基础伤害+5%;蓝
27;踏波而行;行动回合内移动时，回合内提升10%暴击值和10%命中值;蓝
28;孤独避世;当场上本方仅有自身一人时，基础攻击+20%;暗金
29;奇门迷阵;受到奇门武学攻击时，基础伤害-15%;暗金
30;智商碾压;每次攻击时，附加额外附加攻击力*10%的附加伤害;蓝
31;飞花摘叶;所有暗器招式，命中值+200;蓝
32;遁入花阵;生命值低于10%时，提升闪避率80%（单局只能触发1次）;金
33;玄机酒;醉酒状态时，每回合恢复真气10%;橙
34;花香入脾;每回合开始时，获得生命值*1%的护盾;紫
35;沧海潮生;潮落潮生1级：当真气低于5%时，立即恢复至30%，一局生效一次（可叠加至5级）;暗金
36;百花齐放;多段攻击次数超过5次时，获得5%最大生命值的护盾;紫
37;回雁剑锋;使用长生门剑法武学时，自身生命值+1000，可叠加10次;蓝
38;飞针刺穴;使灵枢针术附加流血+20效果;绿
39;靠谱队友;长生门武学呼叫合击发动概率+20%;暗金
40;强力队友;长生门武学基础伤害+10%;橙
41;医术仁心;使用任意长生门医术时，自身恢复生命值*1%的护盾;蓝
42;义务行医;使用任意长生门医术时，目标额外回复5%最大生命值的护盾;金
43;全真弟子;使用全真派武学造成基础伤害+5%;蓝
44;南天柱石;长生门内功武学伤害+10%;金
45;风雷助阵;长生门武学攻击时，40%概率造成40%的额外伤害;金
46;玉女弟子;使用玉女派武学造成基础伤害+5%;蓝
47;新鲜空气;任意武学命中时，附加吸血率降低5%，可叠加3次;绿
48;拜月弟子;使用天阴教武学造成基础伤害+5%;蓝
49;华山弟子;使用五岳派武学造成基础伤害+5%;蓝
50;万寿无疆;每回合获得生命值*1%的护盾;紫
51;调息练气;每次受到攻击，最大生命值+2000，可叠加5次;白
52;天地精华;长生门剑法武学伤害+10%;橙
53;峨嵋弟子;使用峨嵋派武学造成基础伤害+5%;蓝
54;齐心协力;长生门暗器武学伤害+10%;金
55;长生门银指环;使用长生门医术最终治疗+10%;蓝
56;龙门镖局弟子;使用龙门镖局武学造成基础伤害+5%;蓝
57;格挡;受到暴击时基础伤害-10%;蓝
58;寸劲;所有反击时，额外附加流血15;橙
59;蓄力;每次发动反击，自身攻击+300，叠加3次;绿
60;内丹;内功等级上限+1;暗金
61;圆转;受到攻击时，自身反击率+10%，可叠加3次;暗金
62;行脉;受到暴击时，自身恢复最大生命值10%护盾（每场战斗最多生效5次）;暗金
63;五毒弟子拳套;使用五毒教武学造成基础伤害+5%;蓝
64;洞察;每回合+1000反击值，可叠加3次;暗金
65;拳精;武当拳掌武学暴击值+100;白
66;太极;《太极拳》和《太极剑》伤害+10%;暗金
67;守护;受到攻击时，给周围3*3队友附加坚韧+30（回合外触发，每个回合外最多生效两次）;金
68;真武;武当剑系附加吸血+10%;紫
69;绝意;所有攻击后获得坚韧+20;橙
70;铁爪;武当拳掌武学攻击对敌附加破甲+10;蓝
71;虎扑;虎爪功和黑虎绝户手暴击值+1000;橙
72;根性;每回合防御+50，可叠加3次;绿
73;逍遥仙宫弟子拳套;使用逍遥仙宫武学造成基础伤害+5%;蓝
74;戒律森严;对生命值高于50%敌人基础伤害+5%，对生命值低于50%敌人伤害-5%;紫
75;护寺长棍;少林奇门，附加对敌人行动条击退10%;暗金
76;阳刚之气;少林寺武学忽视防御+10%;暗金
77;修炼中;本周目徒儿在修炼中，无法获得任何经验，使用物品，出战。周目结算后可带出选为下一周目主角。;白
78;受戒刀法;少林刀法额外附加当前刀法精通的真气燃烧;紫
79;潜心修佛;所有少林派绝招威力+10%;暗金
80;武当弟子拳套;使用武当派武学造成基础伤害+5%;蓝
81;玄机门弟子拳套;使用玄机门武学造成基础伤害+5%;蓝
82;明教弟子刀;使用明教武学造成基础伤害+5%;蓝
83;持戒习武;攻击时自身附加力道+300，可叠加3次;蓝
84;佛祖显灵;打出少林派绝招后，攻击+600，可叠加3次;绿
85;圣僧开光;少林派绝招率+10%;金
86;静心凝神;命中率+15%，暴击值+600;暗金
87;慈悲心肠;攻击后恢复3%生命值上限的护盾（自身回合内攻击生效，每回合最多生效2次）;紫
88;菩萨保佑;受到所有伤害，降低10%;金
89;超度队友;场上有任意队友退场时，自身恢复20%生命值;暗金
90;前朝将军甲（暂不用）;被攻击时对攻击者造成2000+攻击*10%的反伤;金
91;粗中有细;提升角色暴击值，提升至为拳掌精通的10%（最高500）;蓝
92;外功暴击;峨嵋派外功暴击率+10%;暗金
93;外功暴伤;峨嵋派外功暴击伤害倍数+10%;金
94;佛手点穴;峨嵋拳掌武学暴击伤害倍数+10%;橙
95;以慧击愚;峨嵋剑法武学暴击率+5%;紫
96;暴击专注;每回合暴击率+5%，可叠加3次;暗金
97;乘胜追击;攻击时自身附加攻击+300，可叠加3次;绿
98;掌风干扰;峨嵋拳掌类武学攻击后自身暴击伤害倍数+5%，可叠加3次;金
99;上清剑气;所有剑系武学，附加当前剑法精通伤害;紫
100;四象转移;所有拳掌武学，降低敌人300点攻击，提升自身300点攻击，可叠加3次;绿
101;太清真气;每回合+护盾400点;绿
102;死亦何苦·极;援护防御1级：周围3*3队友受到攻击时，有20%几率援护防御，以自身防御分担20%伤害援护防御后对攻击者随机添加一种基础负面状态+10;橙
103;截手三式;所有武学，附加降低敌人300点攻击，可叠加3次;绿
104;灭绝一剑;剑法攻击1名敌人时，暴击率+10%，暴击伤害倍数+10%;暗金
105;峨嵋武绝;攻击力+300;紫
106;太虚真气;暴击时自身恢复3%最大生命值护盾+3%真气（每场战斗最多生效4次）;紫
107;死亦何苦·狂;援护防御1级：周围3*3队友受到攻击时，有20%几率援护防御，以自身防御分担20%伤害援护防御后对攻击者随机添加二种基础负面状态+10;金
108;死亦何苦·化;援护防御2级：周围3*3队友受到攻击时，有30%几率援护防御，以自身防御分担40%伤害援护防御后对攻击者随机添加三种基础负面状态+10;暗金
109;虎齿;吸血率+10%;金
110;密洞学武;每次破招后，单局内永久提升攻击+500，叠加3次;紫
111;超凡脱俗;破招值提升500;橙
112;错金虎符;被剑法武学攻击后自身附加调息+10;蓝
113;虎尾;反击率+3%;橙
114;后发先至;使用五岳宗武学回合外攻击时，造成基础伤害+30%;金
115;后发制人;任意武学回合外攻击后，攻击+300，可叠加3次;绿
116;气宗秘诀;每回合提升100点暴击值，叠加3次;紫
117;一剑封喉;五岳派剑法武学，暴击值+1000;暗金
118;拳震三山;五岳拳掌武学，额外附加内伤20;金
119;利剑如风;五岳剑法武学，额外附加破甲+20;金
120;太华真气;真气百分比越低，真气恢复越快，最高每回合回真气+10000;橙
121;虎噬;攻击后附加流血+5;紫
122;由内致外;提升角色真气，提升值为攻击的10%;金
123;剑法贯通;使用剑法武学时，附加2000点伤害;金
124;一击制胜;开局时，暴击值+1000，施放五岳武学时威力百分比+20%，持续1回合;暗金
125;出夷入险;生命值低于20%时，攻击+1000;橙
126;五岳精要;破招率+5%;暗金
127;天命之人;全精通+5%;暗金
129;苦争恶战;汲取生命1级：吸血率+3%（最高可叠加至5级）;紫
