道具id;道具名称;描述;稀有度
512001;《手挥五弦》秘籍;;金
512002;《玄阴锻骨》秘籍;;蓝
512003;《玄阴易筋》秘籍;;紫
512004;《玄阴真经·逆》秘籍;;暗金
413701;闯王军刀;埋藏于闯王宝藏中的宝刀，多少寻宝者为其痴痴追寻。;暗金
413702;冷月宝刀;刀似冷月，弯，冷，无情。;暗金
413703;屠龙刀;传说中的宝刀，巨大无比，需要双手持握，刀背铸有金光巨龙。;暗金
413704;赤刀·化;赤刀门专属奇物，经过无数次决斗淬炼，最强大的赤刀。;暗金
512009;《白蟒鞭法》秘籍;;紫
413706;青龙偃月刀;相传关公使过的大刀，流传数百年后，已埋藏于闯王宝藏深处。;暗金
413707;黑刀;刀身全黑且不反光，挥动时没有一点声音，刀刃极薄极利，这一切的设计都是为了--密谋。;暗金
413708;虎头铡刀;从虎头铡上拆下的大刀，极重无比，刀柄有一巨大虎头。;暗金
413709;九环金刀;挥舞时刀背上的金环摇晃，发出铮铮的金属碰撞声，仿佛催人惊醒的铃声。;暗金
413710;焰形刀;挥动时会冒出火焰。这么可怕的原理，他可不会到处乱说，他一般都说是他变的戏法。;暗金
413711;熟钢刀;生产系统产出的基础暗金装备，属性较高，并无什么特殊能力。;暗金
413712;冷钢刀;生产系统产出的基础暗金装备，属性较高，并无什么特殊能力。;暗金
413713;封心绝爱刀;这一刀，断了情根。这一刀，再无挂念。这一刀，封心绝爱。;暗金
413714;天涯无悔刀;与封心绝爱刀是同模而生的刀，代表着分别，代表着相忘。;暗金
413715;苍云刀;来源未知，一神秘人曾凭借此刀与赤刀老祖大战数十回合而不落下风，因刀背有苍云纹路，故江湖人称之为苍云刀;暗金
413716;裂空刃;一柄黑色的刀，毫不起眼却无坚不摧，可撕裂天空。;暗金
413717;龟壳;一口足足二十公斤重的龟壳，据说是某位武学大师训练徒弟们所用的器具。;橙
430102;布鞋;;白
430103;单只鞋;在宇文庄遗落的布鞋，因为只剩一只了所以穿起来很勉强;白
430104;残破的邪剑侣之鞋;父母留下的鞋子，不知道是怎么保存至今的。;白
450601;紫金盘;像是专门用作练特殊掌法的;金
450602;大燕世袭图表;上面记载着全部燕国皇族族谱;金
450603;蚩尤像;本是九黎人祖传至宝，如今被天龙寺收藏。蕴藏着强大的能量。;金
450604;神农鼎·伪;能炼出旷世神药，并隐藏其他神祕之力量的古老铜鼎。但实际上只是神农鼎的仿制品。;金
450605;天佛令;;金
450606;封魔录;;金
807001;大秘境藏宝图;记录着大秘境宝藏的位置，在无名岛据点处于降雨天气下才能进入。使用：开启宝藏入口注：单局内只能获取一次宝藏;暗金
807002;未鉴定的少林藏宝图;这张尘封已久却毫不褪色的神奇藏宝图，记录着江湖中某个无人知晓的神秘藏宝洞穴。使用：在鸣沙山荒漠二层开启一个神奇藏宝洞穴入口;金
807003;少林藏宝图;已经打开的少林藏宝图。已在鸣沙山荒漠二层开启一个藏宝洞穴入口;金
807004;未鉴定的琅嬛宝图;宇文山庄先祖将最珍贵的宝物藏在此处，快去寻找吧。使用：开启洞穴入口必得一件专属于剧本《江湖濯玉录》的暗金装备。;暗金
807005;琅嬛宝图;已经打开的琅嬛宝图;暗金
512101;《雪狐刀法》秘籍;;暗金
512102;《夏济八砍刀法》秘籍;;紫
512103;《金龙刀法》秘籍;;金
512104;《蓑衣刀法》秘籍;;白
512105;《快斩刀法》秘籍;;绿
512106;《刀气剑诀》秘籍;;金
512107;《烧火棍法》秘籍;;白
512108;《奇门拳术》秘籍;;金
512109;《连环追心剑法》秘籍;;金
512110;《养心剑法》秘籍;;白
512111;《秋风剑法》秘籍;;绿
512112;《洪拳》秘籍;;紫
512113;《柴刀十八路》秘籍;;橙
512114;《拳风内劲》秘籍;;金
512115;《游龙八卦掌》秘籍;;紫
512116;《风波刀法》秘籍;;紫
512117;《黑风刀法》秘籍;;绿
512118;《太祖长棍》秘籍;;橙
512119;《火枪射击》秘籍;;绿
512120;《火神飞刀》秘籍;;紫
430201;铁线鞋;;绿
430202;绣花鞋;女子可穿的小巧布鞋，绣着精美的牡丹图案;绿
430203;邪剑侣之鞋;父母留下的豪华装备，不知道是怎么保存至今的。;绿
430204;慈母补丁鞋;左脚脚底板写着清明，右脚脚底板写着重阳的鞋子;绿
430205;见习捕快鞋;六扇门见习捕快的鞋，统一配备，辨识度很低;绿
512126;《太玄经》秘籍;;暗金
430207;邪剑侣之鞋;父母留下的豪华装备，不知道是怎么保存至今的。;绿
512128;《狮吼功》秘籍;;金
512129;《无妄神功》秘籍;;金
512130;《打坐心法》秘籍;;白
512132;《调息内功》秘籍;;绿
512133;《九天九地》秘籍;;蓝
512134;《九合一匡》秘籍;;橙
512135;《九九归一》秘籍;;暗金
512136;《二指禅》秘籍;;蓝
512137;《凌空指》秘籍;;橙
512138;《烈阳禅指》秘籍;;金
512139;《六脉齐发》秘籍;;暗金
512140;《伤心欲绝掌》秘籍;;暗金
450701;如来印;说法印、无畏印、与愿印、降魔印、禅定印5种，即“释迦五印”。在佛教的各种手势代表佛像的不同身份，表示佛教的各种教义，是具有印度特点的人体语言，表达的含义极为丰富。;暗金
450702;龙衮;龙衮，卷龙衣也，是天子及上公的礼服。因袍上绣龙形图案，故名;暗金
450703;阿里心经;记录了：你穷，是因为你没有野心；寒冷的时候，学会用自己的左手温暖右手...等优秀的赚钱语录。;暗金
512144;《长拳》秘籍;;白
512145;《铁线拳》秘籍;;绿
512147;《扫堂腿法》秘籍;;白
512148;《旋风腿法》秘籍;;绿
512151;《玉女清心剑法》秘籍;;金
450713;奉旨乞讨金牌;刻着“奉旨乞讨”四个大字的金牌持有时乞讨获得好东西的几率上升。;暗金
450714;五毒蛊囊;从五毒教流传出来的奇物，蛊盒内是多个剧毒之物。;暗金
450715;神农鼎;能炼出旷世神药，并隐藏其他神祕之力量的古老铜鼎。;暗金
450716;大宝贝;是秦忠贤，乃至所有天阴教内“阴人”的宝贝。随身携带，进行包裹，绝不离身。;暗金
450717;五岳令旗;五岳宗镇派之宝。五岳剑派，同气连枝，五岳剑派合并后，五岳令旗重出江湖，见令旗如见江湖。;暗金
450718;贝叶经;峨嵋派流传多年的珍贵经文，既含高深佛法，也藏高深武学。;暗金
450719;蛟龙斩;“剑术已成君把去，有蛟龙处斩蛟龙”——全真初祖·吕洞宾;暗金
450720;静心念珠;108颗佛珠，念一遍，抚一遍，心便静了。一切烦恼执念，都该放下。;暗金
450721;生灭追击令;接此令者，必追击果断，绝不半途而废，心慈手软。;暗金
